Name,Retail Price,Wholesale Price,Quantity
Tip Top Taps Pillar Cock Ptmt,200,190.0,0
Towel Rake 4018,1150,1050.0,5
Towel Rake Folding,1000,850.0,13
Towel Ring,250,140.0,4
Towel Ring L,100,55.0,68
Towel Ring Polner 2908,630,525.0,3
Polner Towel Ring  In-07,438,365.0,19
Polner Towel Ring  Ru07 ,378,315.0,24
Towel Rod Multy,450,300.0,93
Towel Rod SS  24'',180,160.0,4
Towel Rod SS 18'',160,140.0,53
Urinal Bracket,50,30.0,236
Urinal Spreader Heavy,240,190.0,11
Urinal Spreader lite,150,125.0,129
Urinal Spreader Medium,200,160.0,30
Wall Hung Ball Cock,450,350.0,0
Wash Basin Bracket 12'',60,47.0,195
Wash Basin Bracket 15'',70,57.0,64
Wash Basin Bracket 18'',100,67.0,14
Washer SS For Center Hole,10,5.0,123
Washer SS For Pillar Cock,10,5.0,2880
Washer Syphon 1/2'',10,6.5,254
Washer Syphon 3/4'',10,6.5,218
Washing Machine Nozzle,50,35.0,224
Waste Jali 4'' SS lite,90,50.0,201
Waste Jali 6'' Brass,350,220.0,51
Waste Jali 6'' Brass 1.5'',400,280.0,2
Waste Jali 6'' SS,150,80.0,74
Waste Jali 9'' Brass,550,425.0,14
Waste Jali Lapino,120,85.0,151
Waste Pipe Dolo,50,35.0,371
Waste Pipe Polo,20,10.0,11
washer connection,50,30.0,27
washer toti,50,30.0,59
washer mixer,100,50.0,8
concealed cistern ball cock,450,300.0,10
floor jali 5'' locking squir wifi plain,100,80.0,47
Floor jali 6'' locking squir wifi plain,140,100.0,24
foot valve big,1500,1300.0,0
